zona_id,descripcion
3,GBA NORTE
10,JUJUY
15,CORDOBA
36,GBA SUR
1,CAPITAL FEDERAL
16,NEUQUEN
15,CORDOBA
30,LA RIOJA
16,NEUQUEN
17,MENDOZA
36,GBA SUR
2,BUENOS AIRES (INTERIOR)
21,RIO NEGRO
22,SALTA
3,GBA NORTE
30,LA RIOJA
21,RIO NEGRO
7,GBA OESTE
3,GBA NORTE
30,LA RIOJA
35,SANTA CRUZ
35,SANTA CRUZ
12,SANTA FE
16,NEUQUEN
36,GBA SUR
10,JUJUY
1,CAPITAL FEDERAL
22,SALTA
3,GBA NORTE
16,NEUQUEN
17,MENDOZA
3,GBA NORTE
1,CAPITAL FEDERAL
2,BUENOS AIRES (INTERIOR)
12,SANTA FE
15,CORDOBA
15,CORDOBA
17,MENDOZA
2,BUENOS AIRES (INTERIOR)
7,GBA OESTE
16,NEUQUEN
22,SALTA
35,SANTA CRUZ
22,SALTA
36,GBA SUR
10,JUJUY
30,LA RIOJA
21,RIO NEGRO
12,SANTA FE
35,SANTA CRUZ
2,BUENOS AIRES (INTERIOR)
7,GBA OESTE
2,BUENOS AIRES (INTERIOR)
30,LA RIOJA
16,NEUQUEN
36,GBA SUR
3,GBA NORTE
3,GBA NORTE
16,NEUQUEN
21,RIO NEGRO
2,BUENOS AIRES (INTERIOR)
1,CAPITAL FEDERAL
10,JUJUY
12,SANTA FE
7,GBA OESTE
7,GBA OESTE
35,SANTA CRUZ
17,MENDOZA
12,SANTA FE
10,JUJUY
22,SALTA
21,RIO NEGRO
21,RIO NEGRO
1,CAPITAL FEDERAL
15,CORDOBA
7,GBA OESTE
1,CAPITAL FEDERAL
35,SANTA CRUZ
7,GBA OESTE
2,BUENOS AIRES (INTERIOR)
35,SANTA CRUZ
21,RIO NEGRO
36,GBA SUR
15,CORDOBA
15,CORDOBA
1,CAPITAL FEDERAL
36,GBA SUR
30,LA RIOJA
17,MENDOZA
